id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated
gala,gala,GALA,https://coin-images.coingecko.com/coins/images/12493/large/GALA_token_image_-_200PNG.png?1709725869,0.01787913,684952009,99,684952080,75399645,0.0191667,0.01784118,-0.001079176710546567,-5.69237,-42020123.85472906,-5.78016,38334628286.8458,38334632282.8458,50000000000.0,0.824837,-97.8342,2021-11-26T01:03:48.731Z,0.00013475,13157.4635,2020-12-28T08:46:48.367Z,,2024-09-01T17:44:38.513Z
axie-infinity,axs,Axie Infinity,https://coin-images.coingecko.com/coins/images/13029/large/axie_infinity_logo.png?1696512817,4.52,674296947,100,1220027293,20100480,4.75,4.51,-0.1818916940625357,-3.86839,-27425646.316577673,-3.90833,149226313.900959,270000000.0,270000000.0,164.9,-97.2588,2021-11-06T19:29:29.482Z,0.123718,3553.6048,2020-11-06T08:05:43.662Z,,2024-09-01T17:44:34.867Z
bitcoin,btc,Bitcoin,https://coin-images.coingecko.com/coins/images/1/large/bitcoin.png?1696501400,58009.0,1145722695874,1,1218353258953,21149614611,59130.0,57674.0,-905.5520788265203,-1.53706,-17639036304.88916,-1.51621,19748112.0,21000000.0,21000000.0,73738.0,-21.34108,2024-03-14T07:10:36.635Z,67.81,85436.53187,2013-07-06T00:00:00.000Z,,2024-09-01T17:44:35.329Z
ethereum,eth,Ethereum,https://coin-images.coingecko.com/coins/images/279/large/ethereum.png?1696501628,2464.28,296281140163,2,296281140163,8162117260,2525.17,2447.2,-40.32211813055483,-1.60992,-5015589879.358887,-1.66467,120305767.32756,120305767.32756,,4878.26,-49.50369,2021-11-10T14:24:19.604Z,0.432979,568828.83932,2015-10-20T00:00:00.000Z,"{'times': 55.808346447692955, 'currency': 'btc', 'percentage': 5580.834644769296}",2024-09-01T17:44:38.636Z
tether,usdt,Tether,https://coin-images.coingecko.com/coins/images/325/large/Tether.png?1696501661,1.0,118243520787,3,118243520787,26540025853,1.004,0.997862,0.00032748,0.03275,23417072.0,0.01981,118228802316.484,118228802316.484,,1.32,-24.36451,2018-07-24T00:00:00.000Z,0.572521,74.79353,2015-03-02T00:00:00.000Z,,2024-09-01T17:44:43.503Z
binancecoin,bnb,BNB,https://coin-images.coingecko.com/coins/images/825/large/bnb-icon2_2x.png?1696501970,517.24,75516796298,4,75516796298,457665308,535.34,514.14,-15.075655502039808,-2.83208,-2141670903.6535187,-2.75781,145887575.79,145887575.79,200000000.0,717.48,-27.94764,2024-06-06T14:10:59.816Z,0.0398177,1298211.85837,2017-10-19T00:00:00.000Z,,2024-09-01T17:44:35.653Z
solana,sol,Solana,https://coin-images.coingecko.com/coins/images/4128/large/solana.png?1718769756,132.37,61742238965,5,77214839714,2022749870,136.29,130.35,-3.3739793803516136,-2.48556,-1565798203.0726395,-2.4733,466584922.88757,583511071.799565,,259.96,-49.09862,2021-11-06T21:54:35.825Z,0.500801,26322.2286,2020-05-11T19:35:23.449Z,,2024-09-01T17:44:41.799Z
usd-coin,usdc,USDC,https://coin-images.coingecko.com/coins/images/6319/large/usdc.png?1696506694,1.0,34732653257,6,34732889855,3302928170,1.002,0.996174,0.00054714,0.05472,8430146.0,0.02428,34716727218.3794,34716963708.4092,,1.17,-14.68793,2019-05-08T00:40:28.300Z,0.877647,13.99348,2023-03-11T08:02:13.981Z,,2024-09-01T17:44:42.389Z
ripple,xrp,XRP,https://coin-images.coingecko.com/coins/images/44/large/xrp-symbol-white-128.png?1696501442,0.55342,31113856250,7,55304959392,535393957,0.568124,0.552618,-0.0104755348456701,-1.85771,-608584440.3322678,-1.91847,56251561168.0,99987294444.0,100000000000.0,3.4,-83.7204,2018-01-07T00:00:00.000Z,0.00268621,20496.10755,2014-05-22T00:00:00.000Z,,2024-09-01T17:44:32.640Z
staked-ether,steth,Lido Staked Ether,https://coin-images.coingecko.com/coins/images/13442/large/steth_logo.png?1696513206,2462.87,24129975789,8,24130169992,31035349,2525.4,2446.31,-41.250157720777224,-1.64729,-415644420.5918503,-1.69335,9798013.4992758,9798092.35574212,,4829.57,-48.99753,2021-11-10T14:40:47.256Z,482.9,410.08895,2020-12-22T04:08:21.854Z,,2024-09-01T17:44:41.156Z
